,Country,Region,Population,Area,Net_migration,GDP_per_capita,Literacy_rate,Birthrate,Deathrate,Unemployment_rate,Infant_mortality,GDP,Main_sector
111,"Korea, South ",ASIA (EX. NEAR EAST),48846823,98480,0,17800,97.9,10,5.85,6.9,7.05,869473,Terciario
112,Kuwait,NEAR EAST,2418393,17820,14.18,19000,83.5,21.94,2.41,2.1,9.95,45949,Terciario
113,Kyrgyzstan,C.W. OF IND. STATES,5213898,198500,-2.45,1600,97,22.8,7.08,7.4,35.64,8342,Terciario
114,Laos,ASIA (EX. NEAR EAST),6368481,236800,0,1700,66.4,35.49,11.55,1.5,85.22,10826,Primario
115,Latvia,BALTICS,2274735,64589,-2.23,10200,99.8,9.24,13.66,9,9.55,23202,Terciario
116,Lebanon,NEAR EAST,3874050,10400,0,4800,87.4,18.52,6.21,10.1,24.52,18595,Terciario
117,Lesotho,SUB-SAHARAN AFRICA,2022331,30355,-0.74,3000,84.8,24.75,28.71,28.1,84.23,6066,Secundario
118,Liberia,SUB-SAHARAN AFRICA,3042004,111370,0,1000,57.5,44.77,23.1,2.8,128.87,3042,Primario
119,Libya,NORTHERN AFRICA,5900754,1759540,0,6400,82.6,26.49,3.48,30,24.6,37764,Secundario
120,Liechtenstein,WESTERN EUROPE,33987,160,4.85,25000,100,10.21,7.18,2.4,4.7,849,Terciario
121,Lithuania,BALTICS,3585906,65200,-0.71,11400,99.6,8.75,10.98,7,6.89,40879,Terciario
122,Luxembourg,WESTERN EUROPE,474413,2586,8.97,55100,100,11.94,8.41,5.9,4.81,26140,Terciario
123,Macau,ASIA (EX. NEAR EAST),453125,28,4.86,19400,94.5,8.48,4.47,2,4.39,8790,Terciario
124,Macedonia,EASTERN EUROPE,2050554,25333,-1.45,6700,98,12.02,8.77,23.4,10.09,13738,Terciario
125,Madagascar,SUB-SAHARAN AFRICA,18595469,587040,0,800,68.9,41.41,11.11,2.1,76.83,14876,Terciario
126,Malawi,SUB-SAHARAN AFRICA,13013926,118480,0,600,62.7,43.13,19.33,20.4,103.32,7808,Terciario
127,Malaysia,ASIA (EX. NEAR EAST),24385858,329750,0,9000,88.7,22.86,5.05,3.4,17.7,219472,Secundario
128,Maldives,ASIA (EX. NEAR EAST),359008,300,0,3900,97.2,34.81,7.06,11.6,56.52,1400,Terciario
129,Mali,SUB-SAHARAN AFRICA,11716829,1240000,-0.33,900,46.4,49.82,16.89,8.1,116.79,10545,Primario
130,Malta,WESTERN EUROPE,400214,316,2.07,17700,92.8,10.22,8.1,4.4,3.89,7083,Terciario
131,Marshall Islands,OCEANIA,60422,11854,-6.04,1600,93.7,33.05,4.78,36,29.45,96,Terciario
132,Martinique,LATIN AMER. & CARIB,436131,1100,-0.05,14400,97.7,13.74,6.48,11.5,7.09,6280,Terciario
133,Mauritania,SUB-SAHARAN AFRICA,3177388,1030700,0,1800,41.7,40.99,12.16,11.7,70.89,5719,Terciario
134,Mauritius,SUB-SAHARAN AFRICA,1240827,2040,-0.9,11400,85.6,15.43,6.86,6.9,15.03,14145,Terciario
135,Mayotte,SUB-SAHARAN AFRICA,201234,374,6.78,2600,58.6,40.95,7.7,8.6,62.4,523,Primario
136,Mexico,LATIN AMER. & CARIB,107449525,1972550,-4.87,9000,92.2,20.69,4.74,3.6,20.91,967045,Terciario
137,"Micronesia, Fed. St. ",OCEANIA,108004,702,-20.99,2000,89,24.68,4.75,29.8,30.21,216,Terciario
138,Moldova,C.W. OF IND. STATES,4466706,33843,-0.26,1800,99.1,15.7,12.64,4.3,40.42,8040,Terciario
139,Monaco,WESTERN EUROPE,32543,2,7.75,27000,99,9.19,12.91,2,5.43,878,Terciario
140,Mongolia,ASIA (EX. NEAR EAST),2832224,1564116,0,1800,97.8,21.59,6.95,8,53.79,5098,Terciario
141,Montserrat,LATIN AMER. & CARIB,9439,102,0,3400,97,17.59,7.1,6,7.35,32,Terciario
142,Morocco,NORTHERN AFRICA,33241259,446550,-0.98,4000,51.7,21.98,5.58,9.3,41.62,132965,Terciario
143,Mozambique,SUB-SAHARAN AFRICA,19686505,801590,0,1200,47.8,35.18,21.35,22.4,130.79,23623,Terciario
